ID,District,pH,TN,P2O5,K2O,OM,Sand,Clay,Silt,Longitude,Latitude,Dataset,SN,Texture_class,B,Zn,Source,Year,Palika,Ward.Numbe,Nepal_cropmask1,lyrid,upper_depth,lower_depth
8AC36E4B,Rupendehi,6.1999998,0.08,57.92,25.5,1.45,40.9,10.3,48.8,83.5327,27.6157,Legacy_Data,24965,L,0.74,0.26,NLUP,2074,NA,NA,NA,8AC36E4B_1,0,20
8AC6E2E5,Rolpa,6.1,0.3,61.36,368.97,3.9,32.1,28.15,39.75,82.4366,28.5136,Legacy_Data,23649,Clay Loam,0.1,1.65,IWRMP,2074,NA,NA,NA,8AC6E2E5_1,0,20
8AC7FD51,Morang,5.8000002,0.18,210.63,128.52,4.05,19.8,12.5,67.7,87.3119,26.5522,Legacy_Data,16180,SIL,0.93,0.02,NLUP,2074,NA,NA,NA,8AC7FD51_1,0,20
8ACB50BD,Salyan,5.98,0.25,41.2,696.8,4.43,47,11,42,82.1907,28.4378,Legacy_Data,25776,L,NA,NA,NLUP,2074,NA,NA,NA,8ACB50BD_1,0,20
8ACB6C2D,Lalitpur,6.3000002,0.15,188,254,3.9,23.2,18.3,58.5,85.3805,27.6055,Legacy_Data,13616,SiL,0.3,8.9,NLUP,2077,NA,NA,NA,8ACB6C2D_1,0,20
8ACBB356,Gulmi,7.2,0.26,211,128.72,5.72,NA,NA,NA,83.5309,28.0133,Legacy_Data,7784,SL,NA,NA,NLUP,2075,NA,NA,NA,8ACBB356_1,0,20
8ACFE767,Kailali,8.3999996,0.1,47,78.56,1.9,32.6,21.7,45.7,81.009,28.5649,Legacy_Data,10840,L,3.01,0.39,NLUP,2074,NA,NA,NA,8ACFE767_1,0,20
8AD10FAB,Argakhachi,5.5,0.11,69.316,237.62,2.5,89,8.94,2.06,82.7896,27.8482,Legacy_Data,280,Loamy Sand,NA,NA,NLUP,2075,NA,NA,NA,8AD10FAB_1,0,20
8ADB4040,Salyan,6.52,0.06,28.84,201,1.16,30,12,58,82.1202,28.4139,Legacy_Data,25771,SiL,NA,NA,NLUP,2074,NA,NA,NA,8ADB4040_1,0,20
8ADC9981,Solukhumbu,5.52,0.53,90.3,449.7,5.91,65.7,4,30,86.7257,27.7722,Legacy_Data,28111,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8ADC9981_1,0,20
8ADF637E,Rautahat,6.3000002,0.09,66.1,154.8,1.73,30.9,10,59.1,85.3206,26.7905,Legacy_Data,23044,SIL,1.22,0.1,NLUP,2076,NA,NA,NA,8ADF637E_1,0,20
8AE495E8,Mahottari,6.8000002,0.07,34.61,132.97,1.42,37.5,38,24.5,85.743,26.6514,Legacy_Data,14588,Clay Loam,0.19,0.44,NLUP,2074,NA,NA,NA,8AE495E8_1,0,20
8AE9D8DE,Rautahat,6.5999999,0.02,24.01,81.13,0.39,7.5,47,45.5,85.4551,27.1418,Legacy_Data,23193,silty clay,0.27,0.31,NLUP,2076,NA,NA,NA,8AE9D8DE_1,0,20
8AF2F876,Baitadi,7,0.01,180.2,826.6,1.9,30,6,64,80.3683,29.4365,Legacy_Data,857,Silt Loam,NA,NA,NLUP,2076,NA,NA,NA,8AF2F876_1,0,20
8AFC3152,Nawalparasi,7.5,0.13,61.5,147.8,3.23,41.12,26.16,32.72,83.8177,27.4846,Legacy_Data,19268,Loam,NA,NA,NLUP,2074,NA,NA,NA,8AFC3152_1,0,20
8AFE65CE,Baglung-Parbat,6.4200001,0.02,239.7,115.5,0.45,21,20,59,83.1519,28.3083,Legacy_Data,665,,NA,NA,NLUP,2076,NA,NA,NA,8AFE65CE_1,0,20
8AFEDA7B,Gorkha,5.29,0.15,34.75,375.2,2.94,76.54,9.82,13.64,84.7801,27.9841,Legacy_Data,7315,Sandy Loam,NA,NA,NLUP,2077,NA,NA,NA,8AFEDA7B_1,0,20
8B02475A,Bara,7.8000002,0.05,1.13,38.14,0.8,18.8,21.5,59.7,84.991,27.063,Legacy_Data,2127,Loam,3.38,0.87,NLUP,2074,NA,NA,NA,8B02475A_1,0,20
8B0660FE,Nawalparasi,4.71,0.12,15.679,157.49,2.54,54,20.3,25.7,84.2158,27.7609,Legacy_Data,20139,SCL,NA,NA,NLUP,2074,NA,NA,NA,8B0660FE_1,0,20
